
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
             R2023a Update 3 (9.14.0.2286388) 64-bit (glnxa64)
                                May 25, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Iteration 10, max diff = 2.818e-02
Iteration 20, max diff = 8.903e-03
Iteration 30, max diff = 9.042e-03
Iteration 40, max diff = 8.503e-03
Iteration 50, max diff = 7.732e-03
Iteration 60, max diff = 6.549e-03
Iteration 70, max diff = 5.362e-03
Iteration 80, max diff = 4.024e-03
Iteration 90, max diff = 3.032e-03
Iteration 100, max diff = 2.190e-03
Iteration 110, max diff = 1.551e-03
Iteration 120, max diff = 1.066e-03
Iteration 130, max diff = 6.306e-04
Iteration 140, max diff = 4.419e-04
Iteration 150, max diff = 2.990e-04
Iteration 160, max diff = 2.023e-04
Iteration 170, max diff = 1.364e-04
Iteration 180, max diff = 9.220e-05
Iteration 190, max diff = 6.174e-05
Iteration 200, max diff = 4.173e-05
Iteration 210, max diff = 2.798e-05
Iteration 220, max diff = 1.865e-05
Iteration 230, max diff = 1.257e-05
Iteration 240, max diff = 8.440e-06
Iteration 250, max diff = 5.675e-06
Iteration 260, max diff = 3.819e-06
Iteration 270, max diff = 2.549e-06
Iteration 280, max diff = 1.712e-06
Iteration 290, max diff = 1.146e-06
Iteration 300, max diff = 7.615e-07
Iteration 310, max diff = 5.088e-07
Iteration 320, max diff = 3.683e-07
Iteration 330, max diff = 2.313e-07
Iteration 340, max diff = 1.674e-07
Iteration 350, max diff = 1.105e-07
Iteration 360, max diff = 7.338e-08
Iteration 370, max diff = 5.028e-08
Iteration 380, max diff = 3.440e-08
Converged at iteration 388
